AU,first_author,TI,SO,JI,AB,DE,ID,LA,DT,DT2,TC,C1,DI,PA,AR,FU,FX,SN,PN,PP,PU,VL,PY,UT,NR,SC,U2,WC,EM,GA,RP,DB,CR,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,SE,BO,BE,BN
CURE JR;WITTMANN D,CURE JR,"CALLONYCHIUM-PETUNIAE, A NEW PANURGINE BEE SPECIES (APOIDEA, ANDRENIDAE), OLIGOLECTIC ON PETUNIA (SOLANACEAE)",STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,STUD. NEOTROP. FAUNA ENVIRON.,NA,NA,NA,ENGLISH,ARTICLE,ARTICLE,5,"CURE, JR (REPRINT AUTHOR), UNIV FED VICOSA,DEPT BIOL ANIM,BR-36570 VICOSA,MG,BRAZIL.",10.1080/01650529009360815,"P O BOX 825, 2160 SZ LISSE, NETHERLANDS",NA,NA,NA,0165-0521,3,153-156,SWETS ZEITLINGER PUBLISHERS,25,1990,ISIA1990EE71900005,0,ZOOLOGY,0,ZOOLOGY,NA,EE719,"CURE, JR (REPRINT AUTHOR), UNIV FED VICOSA,DEPT BIOL ANIM,BR-36570 VICOSA,MG,BRAZIL",ISI,none,NA,UNIV FED VICOSA,NA,"CURE JR, 1990, STUD NEOTROP FAUNA ENVIRON","CURE JR, 1990, STUD NEOTROP FAUNA ENVIRON",NA,NA,NA,NA
STANTON M;YOUNG HJ;ELLSTRAND NC;CLEGG JM,STANTON M,"CONSEQUENCES OF FLORAL VARIATION FOR MALE AND FEMALE REPRODUCTION IN EXPERIMENTAL POPULATIONS OF WILD RADISH, RAPHANUS-SATIVUS L",EVOLUTION,EVOLUTION,"WE DOCUMENTED EFFECTS OF FLORAL VARIATION ON SEED PATERNITY AND MATERNAL FECUNDITY IN A SERIES OF SMALL EXPERIMENTAL POPULATIONS OF WILD RADISH, R. SATIVUS. EACH POPULATION WAS COMPOSED OF TWO COMPETING POLLEN DONOR GROUPS WITH CONTRASTING FLORAL MORPHOLOGIES AND SEVERAL DESIGNATED MATERNAL PLANTS. PROGENY TESTING WITH ELECTROPHORETIC MARKERS ALLOWED US TO MEASURE PATERNAL SUCCESS. REALIZED FECUNDITY BY EACH MATERNAL PLANT AND THE FRACTION OF THOSE SEEDS ATTRIBUTABLE TO EACH POLLEN DONOR GROUP WERE USED AS OUTCOME VARIABLES IN PATH ANALYSIS TO EXPLORE RELATIONSHIPS BETWEEN FLORAL CHARACTERS (PETAL SIZE, POLLEN GRAIN NUMBER PER FLOWER, AND MODAL POLLEN GRAIN SIZE), POLLINATOR VISITATION PATTERNS, AND REPRODUCTIVE SUCCESS. A WIDE RANGE OF POLLINATOR TAXA VISITED THE EXPERIMENTAL POPULATIONS, AND PATTERNS OF DISCRIMINATION APPEARED TO VARY AMONG THEM. THE IMPACT OF VISITATION ON MALE AND FEMALE REPRODUCTION ALSO VARIED AMONG TAXA, VISITS OF SMALL NATIVE BEES SIGNIFICANTLY INCREASED PATERNAL SUCCESS, WHILE THOSE OF HONEY BEES REDUCED MALE FITNESS. ONLY VISITS BY LARGE NATIVE BEES HAD DISCERNIBLE EFFECTS ON RECIPIENT FECUNDITY, AND, OVERALL, FECUNDITY WAS NOT LIMITED BY VISITATION. MATERNAL PLANTS BEARING LARGE-PETALLED FLOWERS PRODUCED FEWER FLOWERS DURING THE EXPERIMENT, REDUCING THEIR TOTAL SEED PRODUCTION. IN THESE SMALL POPULATIONS, POSTPOLLINATION PROCESSES (AT LEAST IN PART, COMPATIBILITY) SIGNIFICANTLY INFLUENCED MALE AND FEMALE REPRODUCTIVE SUCCESS. VARIATION IN POLLINATOR POOLS OCCURRING ON BOTH SPATIAL AND TEMPORAL SCALES MAY ACT TO PRESERVE GENETIC VARIATION FOR FLORAL TRAITS IN THIS SPECIES.",NA,FLOWER-COLOR POLYMORPHISM; ALPINE SKY PILOT; POLEMONIUM-VISCOSUM; POLLINATION BIOLOGY; SEED PRODUCTION; POLLEN REMOVAL; SELECTION; SUCCESS; BRASSICACEAE; PLANT,ENGLISH,ARTICLE,ARTICLE,125,"STANTON, M (REPRINT AUTHOR), UNIV CALIF DAVIS, DEPT BOT, DAVIS, CA 95616 USA.;UNIV CALIF RIVERSIDE, PROGRAM GENET, RIVERSIDE, CA 92521 USA.;UNIV CALIF RIVERSIDE, DEPT BOT \& PLANT SCI, RIVERSIDE, CA 92521 USA.",10.2307/2409662,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,NA,NA,0014-3820,2,268-280,WILEY-BLACKWELL,45,1991,ISIA1991FL11400003,59,"ENVIRONMENTAL SCIENCES \& ECOLOGY, EVOLUTIONARY BIOLOGY, GENETICS \& HEREDITY",27,"ECOLOGY, EVOLUTIONARY BIOLOGY, GENETICS \& HEREDITY",NA,FL114,"STANTON, M (REPRINT AUTHOR), UNIV CALIF DAVIS, DEPT BOT, DAVIS, CA 95616 USA",ISI,none,UNIV CALIF RIVERSIDE;UNIV CALIF RIVERSIDE,UNIV CALIF DAVIS,NA,"STANTON M, 1991, EVOLUTION","STANTON M, 1991, EVOLUTION",NA,NA,NA,NA
KUBITZKI K;AMARAL MCE,KUBITZKI K,TRANSFERENCE OF FUNCTION IN THE POLLINATION SYSTEM OF THE OCHNACEAE,PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST. EVOL.,"MOST MEMBERS OF THE OCHNACEAE POSSESS PORICIDAL ANTHERS THAT ARE EMPTIED BY POLLEN COLLECTING BEES PERFORMING VIBRATIONAL FORAGING. IN SEVERAL GENERA, SUCH AS TYLERIA, ADENARAKE, AND VARIOUS SPECIES OF SAUVAGESIA, HOWEVER, POLLEN IS RELEASED BY VIBRATION FROM THE ANTHERS THROUGH THE PORUS OF A NOVEL STRUCTURE FORMED BY STAMINODIA. THESE ENVELOP THE ANDROECIUM AND GYNOECIUM. ANTHERS ENCLOSED IN THIS ENVELOPE ARE OFTEN LONGICIDAL.",ANGIOSPERMS; OCHNACEAE; VIBRATIONAL POLLINATION; TRANSFERENCE OF FUNCTION,MELASTOMATACEAE,ENGLISH,ARTICLE,ARTICLE,10,"KUBITZKI, K (REPRINT AUTHOR), INST ALLGEMEINE BOT \& HERBARIUM,OHNHORSTSTR 18,W-2000 HAMBURG 52,GERMANY.;INST NACL PESQISAS AMAZONIA,BR-69000 MANAUS,AMAZONAS,BRAZIL.",10.1007/BF00937828,"SACHSENPLATZ 4-6, PO BOX 89, A-1201 VIENNA, AUSTRIA",NA,NA,NA,0378-2697,12,77-80,SPRINGER-VERLAG WIEN,177,1991,ISIA1991GB39500008,11,"PLANT SCIENCES, EVOLUTIONARY BIOLOGY",6,"PLANT SCIENCES, EVOLUTIONARY BIOLOGY",NA,GB395,"KUBITZKI, K (REPRINT AUTHOR), INST ALLGEMEINE BOT \& HERBARIUM,OHNHORSTSTR 18,W-2000 HAMBURG 52,GERMANY",ISI,none,INST NACL PESQISAS AMAZONIA,INST ALLGEMEINE BOT AND HERBARIUM,NA,"KUBITZKI K, 1991, PLANT SYST EVOL","KUBITZKI K, 1991, PLANT SYST EVOL",NA,NA,NA,NA
OBESO JR,OBESO JR,POLLINATION ECOLOGY AND SEED SET IN ASPHODELUS-ALBUS (LILIACEAE) IN NORTHERN SPAIN,FLORA,FLORA,"POLLINATION, FRUIT, AND SEED PRODUCTION IN ASPHODELUS ALBUS MILLER (LILIACEAE) WAS STUDIED IN A POPULATION IN NORTHERN SPAIN DURING THREE CONSECUTIVE YEARS (1988 TO 1990). THE FLOWERS EXHIBITED A TYPICAL INSECT-POLLINATION SYNDROME, BUT FLORAL VISITORS ARE NOT RESTRICTED BY PERIANTH SHAPE. THIRTEEN SPECIES OF INSECTS WERE IDENTIFIED AS FLORAL VISITORS. THEIR ABUNDANCE STRONGLY VARIED BETWEEN THE YEARS. THE FORAGING BEHAVIOUR AND EFFECTIVENESS AS POLLINATORS DIFFERED AMONG SPECIES. AVERAGE NUMBER OF POLLEN GRAINS COUNTED ON THE STIGMAS VARIED MARKEDLY BETWEEN FLOWERS. A SMALL PERCENTAGE OF OVULES DEVELOPED INTO MATURE SEEDS IN EACH OF THE THREE STUDY YEARS. ANNUAL VARIATION IN BOTH SEED PRODUCTION AND PERCENTAGE OF OVULES THAT PRODUCED MATURE SEEDS WERE CONCORDANT WITH THE ABUNDANCE OF THE MOST EFFICIENT POLLINATORS (BUMBLEBEES). HOWEVER, POLLEN LIMITATION COULD NOT BE DEMONSTRATED. SINCE SEED PRODUCTION DID NOT INCREASE BY HAND-POLLINATION EXPERIMENTS. OTHER POSSIBLE DETERMINANTS OF THE LOW SEED PRODUCTION, AS THE EFFECT OF INBREEDING DEPRESSION, ARE DISCUSSED.",NA,POLLEN-OVULE RATIOS; MALE FITNESS; FRUIT-SET; PLANTS; FLOWER; PATTERNS; ONAGRACEAE; MORPHOLOGY; ASSEMBLAGE; INSECT,ENGLISH,ARTICLE,ARTICLE,8,"OBESO, JR (REPRINT AUTHOR), UNIV OVIEDO,DEPT BIOL ORGANISMOS \& SIST,UNIDAD ECOL,E-33005 OVIEDO,SPAIN.",NA,"VILLENGANG 2, D-07745 JENA, GERMANY",NA,NA,NA,0367-2530,34,219-226,GUSTAV FISCHER VERLAG,187,1992,ISIA1992KD38600002,35,"PLANT SCIENCES, ENVIRONMENTAL SCIENCES \& ECOLOGY",13,"PLANT SCIENCES, ECOLOGY",NA,KD386,"OBESO, JR (REPRINT AUTHOR), UNIV OVIEDO,DEPT BIOL ORGANISMOS \& SIST,UNIDAD ECOL,E-33005 OVIEDO,SPAIN",ISI,none,NA,UNIV OVIEDO,NA,"OBESO JR, 1992, FLORA","OBESO JR, 1992, FLORA",NA,NA,NA,NA
KADMON R,KADMON R,DYNAMICS OF FORAGER ARRIVALS AND NECTAR RENEWAL IN FLOWERS OF ANCHUSA-STRIGOSA,OECOLOGIA,OECOLOGIA,"LONG-TONGUED ANTHOPHORA SPP. BEES COLLECTING NECTAR FROM FLOWERS OF ANCHUSA STRIGOSA (BORAGINACEAE) EXHIBIT SYSTEMATIC FORAGING. SUCCESSIVE FORAGER ARRIVALS AT INDIVIDUAL FLOWERS ARE NOT INDEPENDENT, AND THE TIME ELAPSED BETWEEN SUCCESSIVE ARRIVALS AT A PARTICULAR FLOWER IS DISTRIBUTED MORE UNIFORMLY THAN BE EXPECTED ON THE BASIS OF A RANDOM ARRIVAL PROCESS. DISTRIBUTIONS OF INTERARRIVAL TIME FOR INDIVIDUAL FLOWERS SHOW STANDARD DEVIATION/MEAN MEAN RATIOS OF 0.44-0.79, A RANGE WHICH IS CONSISTENT WITH RESULTS OBTAINED FOR TWO OTHER PLANT-POLLINATOR SYSTEMS. THE RATE AT WHICH NECTAR IS RENEWED BETWEEN SUCCESSIVE FORAGER ARRIVALS IS INDEPENDENT OF THE AMOUNT OF NECTAR IN THE FLOWER, AND THE RENEWAL PROCESS IS STRONGLY LINEAR. PRACTICAL AND THEORETICAL IMPLICATIONS OF THESE RESULTS ARE DISCUSSED.",ANTHOPHORA; BEES; NECTAR STANDING CROP; NECTAR RENEWAL; SYSTEMATIC FORAGING,STANDING CROP; POLLINATION,ENGLISH,ARTICLE,ARTICLE,19,"KADMON, R (REPRINT AUTHOR), HEBREW UNIV JERUSALEM,INST LIFE SCI,DEPT EVOLUT SYSTEMAT \& ECOL,IL-91904 JERUSALEM,ISRAEL.",10.1007/BF00317848,"175 FIFTH AVE, NEW YORK, NY 10010",NA,NA,NA,0029-8549,4,552-555,SPRINGER VERLAG,92,1992,ISIA1992KH02400013,16,ENVIRONMENTAL SCIENCES \& ECOLOGY,5,ECOLOGY,NA,KH024,"KADMON, R (REPRINT AUTHOR), HEBREW UNIV JERUSALEM,INST LIFE SCI,DEPT EVOLUT SYSTEMAT \& ECOL,IL-91904 JERUSALEM,ISRAEL",ISI,none,NA,HEBREW UNIV JERUSALEM,NA,"KADMON R, 1992, OECOLOGIA","KADMON R, 1992, OECOLOGIA",NA,NA,NA,NA
RATHCKE BJ;JULES ES,RATHCKE BJ,HABITAT FRAGMENTATION AND PLANT POLLINATOR INTERACTIONS,CURRENT SCIENCE,CURR. SCI.,"HABITAT FRAGMENTATION IS ONE OF THE MOST APPARENT FORMS OF ENVIRONMENTAL DEGRADATION AND IS OFTEN CONSIDERED TO BE ONE OF THE GREATEST THREATS TO TERRESTRIAL BIODIVERSITY. WE EXAMINE PLANT-POLLINATOR RELATIONSHIPS AS ONE EXAMPLE OF A VITAL INTERACTION THAT MAY BE AFFECTED BY FRAGMENTATION. ALL AVAILABLE EVIDENCE SHOWS THAT POLLINATOR ABUNDANCE AND DIVERSITY DECLINE WITH FRAGMENTATION. FOR SOME PLANTS, THIS DECLINE CAUSES REDUCED POLLINATION AND SEED SET. FOR BOTH POLLINATORS AND PLANTS, SPECIALIZATION FOR MUTUALISTIC PARTNERS APPEARS TO BE A KEY CHARACTERISTIC THAT INCREASES THEIR RISK OF LOCAL EXTINCTION IN FRAGMENTS. FOR MORE GENERALIZED SPECIES, SUBSTITUTABILITY OF AVAILABLE PARTNERS WILL BE NECESSARY FOR THEIR SUCCESS. HOWEVER, RELATIVELY LITTLE EVIDENCE EXISTS FOR EVALUATING THE IMPORTANCE OF THESE OR OTHER CHARACTERISTICS IN CAUSING SPECIES LOSS IN FRAGMENTS. POTENTIALLY, THE LOSS OF ONE MUTUALISTIC PARTNER COULD CAUSE CASCADING EXTINCTIONS, BUT THIS PROCESS REMAINS TO BE DOCUMENTED FOR PLANT-POLLINATOR COMMUNITIES. MORE STUDIES ON THE BIOLOGIES OF KEY PLANT-POLLINATOR MUTUALISMS WOULD BE VALUABLE FOR HABITAT MANAGEMENT AND WOULD ALSO PROVIDE INSIGHTS INTO HOW PLANT-POLLINATOR INTERACTIONS INFLUENCE DEMOGRAPHIC AND GENETIC PROCESSES.",NA,MALE EUGLOSSINE BEES; FORAGING STRATEGIES; POPULATION; COMMUNITY; SIZE; REPRODUCTION; CONSERVATION; CONSEQUENCES; COMPETITION; RESOURCE,ENGLISH,ARTICLE,ARTICLE,249,"RATHCKE, BJ (REPRINT AUTHOR), UNIV MICHIGAN,DEPT BIOL,ANN ARBOR,MI 48109, USA.",NA,"C V RAMAN AVENUE, PO BOX 8005, BANGALORE 560 080, INDIA",NA,NA,NA,0011-3891,3,273-277,CURRENT SCIENCE ASSN,65,1993,ISIA1993LT49800019,44,SCIENCE \& TECHNOLOGY - OTHER TOPICS,130,MULTIDISCIPLINARY SCIENCES,NA,LT498,"RATHCKE, BJ (REPRINT AUTHOR), UNIV MICHIGAN,DEPT BIOL,ANN ARBOR,MI 48109, USA",ISI,none,NA,UNIV MICHIGAN,NA,"RATHCKE BJ, 1993, CURR SCI","RATHCKE BJ, 1993, CURR SCI",NA,NA,NA,NA
LANHAM UN,LANHAM UN,"BEES OF THE SUBGENUS SCAPHANDRENA (GENUS ANDRENA) IN COLORADO (HYMENOPTERA, APOIDEA)",JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,J. KANS. ENTOMOL. SOC.,"COLORADO SCAPHANDRENA IN THE STRICT SENSE ARE CURRENTLY LISTED AS MEMBERS OF A TRIHYBRID CROSS, `'SCURRA X ARABIS X CAPRICORNIS'' RIBBLE, UNDER WHICH 7 SPECIES ARE SYNONYMIZED. HERE A. SCURRA IS CONSIDERED A NON-HYBRID, AND THREE SPECIES ARE RESURRECTED FROM SYNONYMY-ELLISIAE COCKERELL, MONTROSENSIS VIERECK AND COCKERELL AND SIEVERTI COCKERELL. A KEY TO SPECIES AND DATA ON DISTRIBUTION AND COMPOSITION OF SAMPLES TAKEN IN A FIELD SURVEY ARE GIVEN. TRIHYBRID AND DIHYBRID HYPOTHESES EXPLAINING THE ROCKY MOUNTAIN SCAPHANDRENA FAUNA ARE DISCUSSED.",NA,NA,ENGLISH,ARTICLE,ARTICLE,2,"LANHAM, UN (REPRINT AUTHOR), UNIV COLORADO MUSEUM,CAMPUS BOX 218,BOULDER,CO 80309, USA.",NA,"PO BOX 368, LAWRENCE, KS 66044",NA,NA,NA,0022-8567,1,6-12,KANSAS ENTOMOLOGICAL SOC,66,1993,ISIA1993LP27700002,7,ENTOMOLOGY,2,ENTOMOLOGY,NA,LP277,"LANHAM, UN (REPRINT AUTHOR), UNIV COLORADO MUSEUM,CAMPUS BOX 218,BOULDER,CO 80309, USA",ISI,none,NA,UNIV COLORADO MUSEUM,NA,"LANHAM UN, 1993, J KANS ENTOMOL SOC","LANHAM UN, 1993, J KANS ENTOMOL SOC",NA,NA,NA,NA
MURALI KS,MURALI KS,DIFFERENTIAL REPRODUCTIVE SUCCESS IN CASSIA-FISTULA IN DIFFERENT HABITATS - A CASE OF POLLINATOR LIMITATION,CURRENT SCIENCE,CURR. SCI.,"DIFFERENCES IN FLOWER SUCCESS PATTERNS IN TWO HABITAT TYPES THAT DIFFERED DRASTICALLY WITH RESPECT TO RAINFALL, TREE DENSITY AND SPECIES COMPOSITION WERE STUDIED AT MUDUMALAI WILDLIFE SANCTUARY, INDIA. OBSERVATIONS ON PHENOLOGICAL PATTERNS OF TWO SPECIES, CASSIA FISTULA AND GMELINA ARBOREA, WERE MADE FROM APRIL 1988 THROUGH JUNE 1990. QUANTITATIVE DATA ON FLOWER-FRUIT RATIO, INSECT VISITATION RATES, POLLEN GRAIN PER STIGMA AND THE NUMBER OF FRUITS PER TREE WERE RECORDED. DATA WERE ALSO COLLECTED ON THE NUMBER OF POLLEN DEPOSITED ON THE STIGMA AFTER DIFFERENT TYPES OF BEES VISITED THE FLOWER. THE DATA SUGGESTED THAT ONLY CARPENTER BEES (XYLOCOPA SPP) EFFECT POLLINATION IN C. FISTULA. THE DIFFERENCES IN FRUIT-FLOWER RATIOS WERE ATTRIBUTED TO THE DIFFERENCES IN INSECT VISITATION RATES TO INFLORESCENCES BETWEEN SITES. THE LOW POLLEN NUMBER PER STIGMA AND THE RESULTANT REDUCTION IN REPRODUCTIVE SUCCESS IN C. FISTULA ARE ATTRIBUTED TO THE COMPETING SPECIES G. ARBOREA RECEIVING MORE VISITATIONS FROM POLLINATORS IN THE WETTER SITE. THESE RESULTS SUGGEST THAT POLLINATOR LIMITATION IS ANOTHER CONSTRAINT IN REPRODUCTIVE SUCCESS OF PLANTS.",NA,FLOWERING PHENOLOGY; TROPICAL FOREST; FRUIT-SET; SEED-SET; PLANTS; COMPETITION; ABORTION; PATTERNS,ENGLISH,ARTICLE,ARTICLE,7,"TATA ENERGY RES INST,BANGALORE 560020,INDIA.;INDIAN INST SCI,CTR ECOL SCI,BANGALORE 560012,KARNATAKA,INDIA.",NA,"C V RAMAN AVENUE, PO BOX 8005, BANGALORE 560 080, INDIA",NA,NA,NA,0011-3891,3,270-272,CURRENT SCIENCE ASSN,65,1993,ISIA1993LT49800018,17,SCIENCE \& TECHNOLOGY - OTHER TOPICS,5,MULTIDISCIPLINARY SCIENCES,NA,LT498,"TATA ENERGY RES INST,BANGALORE 560020,INDIA",ISI,none,TATA ENERGY RES INST;INDIAN INST SCI,TATA ENERGY RES INST,NA,"MURALI KS, 1993, CURR SCI","MURALI KS, 1993, CURR SCI",NA,NA,NA,NA
EBMEYER E;STELLING D,EBMEYER E,GENETIC-STRUCTURE OF 3 OPEN-POLLINATED FABA BEAN VARIETIES (VICIA-FABA L),PLANT BREEDING,PLANT BREED.,"TO STUDY THE GENETIC STRUCTURE OF OPEN-POLLINATED FABA BEAN VARIETIES, THREE SETS OF GENOTYPES WERE GENERATED FROM EACH OF THE VARIETIES `MINICA', `KRISTALL', AND `DEINIOL': (1) INBRED LINES DEVELOPED BY SINGLE-SEED DESCENT IN BEE-PROOF ISOLATION CAGES, (2) INTRAVARIETAL AND (3) INTERVARIETAL F1-HYBRIDS PRODUCED BY CONTROLLED HAND CROSSING. IN 1989 AND 1990, A TOTAL OF 144 ENTRIES, INCLUDING THE THREE OPEN-POLLINATED SOURCE VARIETIES, WERE GROWN IN SINGLE-ROW PLOTS WITH TWO REPLICATIONS AT TWO LOCATIONS IN WESTERN GERMANY. PERFORMANCE DATA OF THE INBRED LINES REVEALED RELATIVELY LARGE GENOTYPIC VARIABILITY WITHIN EACH VARIETY, FOR ALL THE CHARACTERS STUDIED, WHICH WAS GREATER IN `DEINIOL' AND `KRISTALL' THAN IN `MINICA'. AN AVERAGE YIELD HETEROSIS OF 20 \%, 39 \% AND 57 \%, RESPECTIVELY, WAS FOUND FOR THE INTRAVARIETAL HYBRIDS, WHEREAS THAT OF THE INTERVARIETAL HYBRIDS VARIED BETWEEN 70 AND 73 \%. COMPARED TO THE MEAN YIELD OF THE INBRED LINES THE SUPERIORITY OF THE OPEN-POLLINATED SOURCE VARIETY WAS SMALL AND NOT SIGNIFICANT IN `MINICA' (6 \%), BUT IT WAS LARGE AND HIGHLY SIGNIFICANT IN `KRISTALL' (22 \%) AND `DEINIOL' (37 \%). THE PRESENT INVESTIGATION REVEALED IN FABA BEAN THAT SIMILAR PERFORMANCE LEVELS OF OPEN-POLLINATED VARIETIES MAY RESULT FROM EITHER HIGH PER SE PERFORMANCE UNDER INBREEDING WITH LOW HETEROSIS VALUES OR FROM LOWER PER SE PERFORMANCE BUT WITH HIGH HETEROSIS VALUES.",VICIA-FABA; TYPE OF VARIETY; HETEROSIS; INBREEDING; PARTIAL ALLOGAMY; BREEDING METHODS,AUTOFERTILITY,ENGLISH,ARTICLE,ARTICLE,9,"GEORG AUGUST UNIV,INST PFLANZENBAU \& PFLANZENZUCHTUNG,VON SIEBOLD STR 8,D-37075 GOTTINGEN,GERMANY.;F VONLOCHOWPETKUS GMBH,D-29296 BERGEN,GERMANY.",10.1111/J.1439-0523.1994.TB01271.X,"KURFURSTENDAMM 57, D-10707 BERLIN, GERMANY",NA,NA,NA,0179-9541,1,17-23,BLACKWELL WISSENSCHAFTS-VERLAG GMBH,112,1994,ISIA1994NF82000002,22,"AGRICULTURE, BIOTECHNOLOGY \& APPLIED MICROBIOLOGY, PLANT SCIENCES",0,"AGRONOMY, BIOTECHNOLOGY \& APPLIED MICROBIOLOGY, PLANT SCIENCES",NA,NF820,"GEORG AUGUST UNIV,INST PFLANZENBAU \& PFLANZENZUCHTUNG,VON SIEBOLD STR 8,D-37075 GOTTINGEN,GERMANY",ISI,none,GEORG AUGUST UNIV,GEORG AUGUST UNIV,NA,"EBMEYER E, 1994, PLANT BREED","EBMEYER E, 1994, PLANT BREED",NA,NA,NA,NA
CANE JH,CANE JH,"NESTING BIOLOGY AND MATING-BEHAVIOR OF THE SOUTHEASTERN BLUEBERRY-BEE, HABROPODA-LABORIOSA (HYMENOPTERA, APOIDEA)",JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,J. KANS. ENTOMOL. SOC.,"THE SOLITARY VERNAL BEE, HABROPODA LABORIOSA, NESTS IN DEEP, WELL-DRAINED SANDY SOILS OF THE SOUTHEASTERN U.S. FEMALES MAY NEST GREGARIOUSLY OR SINGLY BENEATH HARDWOOD FOREST LITTER, IN OPEN SAND, OR IN THE WALLS OF LARGE EARTHEN HOLES. THEIR PERSISTENT NESTING AGGREGATIONS SERVE AS ENCOUNTER SITES FOR NON-TERRITORIAL MALES SEEKING EMERGING VIRGIN FEMALES. EXCEPT FOR ITS MULTIPLE-CELLED NESTS, THE NEST ARCHITECTURE OF H. LABORIOSA RESEMBLES THAT OF H. PALLIDA. FUTURE NESTING MANAGEMENT NEEDS ARE DISCUSSED FOR SITUATIONS WHERE H. LABORIOSA IS DESIRED AS A POLLINATOR OF COMMERCIAL BLUEBERRIES.",NA,ANTHOPHORA,ENGLISH,ARTICLE,ARTICLE,15,"CANE, JH (REPRINT AUTHOR), AUBURN UNIV,DEPT ENTOMOL,AUBURN,AL 36849, USA.;AUBURN UNIV,ALABAMA AGR EXPT STN,AUBURN,AL 36849.",NA,"PO BOX 368, LAWRENCE, KS 66044",NA,NA,NA,0022-8567,3,236-241,KANSAS ENTOMOLOGICAL SOC,67,1994,ISIA1994QB25700002,19,ENTOMOLOGY,13,ENTOMOLOGY,NA,QB257,"CANE, JH (REPRINT AUTHOR), AUBURN UNIV,DEPT ENTOMOL,AUBURN,AL 36849, USA",ISI,none,AUBURN UNIV,AUBURN UNIV,NA,"CANE JH, 1994, J KANS ENTOMOL SOC","CANE JH, 1994, J KANS ENTOMOL SOC",NA,NA,NA,NA
